time,u1,u2
0.152,58.34,48.05
1.5729999999999997,58.61,48.31
1.9319999999999997,58.08,47.52
2.304,57.82,47.52
2.6689999999999996,57.82,47.52
3.0379999999999994,57.55,47.26
3.4079999999999995,58.08,46.99
3.7739999999999996,58.08,47.78
4.141,58.08,47.52
4.506,57.82,47.26
4.876,58.34,47.52
5.248,58.08,47.52
5.607,58.08,47.26
5.978,57.82,47.52
6.348,58.08,47.52
6.718,57.82,47.52
7.088,58.08,47.26
7.459,58.08,47.52
7.827999999999999,58.08,46.99
8.200999999999999,58.08,47.26
8.568999999999999,57.82,46.99
8.937999999999999,57.82,47.52
9.305,58.08,47.26
9.674,58.08,47.52
10.042,58.08,47.78
10.405,57.82,47.78
10.774,57.82,47.26
11.143999999999998,58.34,47.26
11.511999999999999,58.08,47.52
11.878999999999998,58.34,47.52
12.246999999999998,58.61,47.78
12.612999999999998,58.34,47.78
12.980999999999998,58.08,47.78
13.350999999999997,58.61,47.78
13.714999999999998,58.87,48.05
14.080999999999998,58.61,48.05
14.449999999999998,57.55,48.05
14.816999999999997,58.61,47.52
15.183999999999997,58.61,48.05
15.554999999999998,58.87,48.58
15.924999999999997,59.14,48.31
16.295999999999996,58.87,48.31
16.662999999999997,58.34,47.52
17.029999999999998,58.61,48.58
17.4,58.61,48.05
17.769,58.34,48.58
18.139999999999997,58.87,48.58
18.505999999999997,58.61,48.84
18.876999999999995,59.14,48.58
19.243999999999996,58.61,48.58
19.603999999999996,58.61,48.58
19.961999999999996,59.4,48.84
20.330999999999996,59.4,49.1
20.702999999999996,59.14,49.1
21.075999999999997,59.14,49.1
21.440999999999995,59.14,49.1
21.808999999999994,59.4,49.37
22.177999999999994,59.4,49.37
22.542999999999992,59.66,49.63
22.914999999999992,59.4,49.1
23.281999999999993,59.93,49.63
23.651999999999994,59.66,49.63
24.020999999999994,59.93,49.63
24.394999999999992,59.93,49.37
24.764999999999993,60.19,49.63
25.138999999999992,59.93,49.9
25.513999999999992,59.93,50.16
25.88499999999999,59.4,50.16
26.257999999999992,60.72,50.16
26.62599999999999,60.19,49.9
26.99699999999999,60.46,50.16
27.36999999999999,60.46,50.42
27.73699999999999,60.72,49.9
28.10799999999999,60.72,50.69
28.47699999999999,60.98,50.42
28.84799999999999,60.98,50.42
29.21499999999999,60.98,50.69
29.582999999999988,60.72,50.69
29.950999999999986,61.25,51.22
30.319999999999986,60.46,50.95
30.688999999999986,61.25,50.95
31.057999999999986,61.51,51.48
31.425999999999984,61.51,50.69
31.796999999999983,61.78,50.95
32.16699999999998,61.51,50.95
32.52999999999998,61.51,51.74
32.89999999999998,61.78,51.22
33.26899999999998,62.04,51.74
33.63999999999998,61.51,51.48
34.00999999999998,61.51,51.74
34.37899999999998,62.3,52.01
34.74999999999998,61.78,52.01
35.12099999999998,62.04,52.27
35.48499999999998,62.3,52.54
35.854999999999976,61.78,52.8
36.226999999999975,62.83,51.74
36.598999999999975,62.57,52.54
36.964999999999975,62.57,52.8
37.33499999999997,63.1,52.8
37.702999999999975,62.57,53.06
38.07999999999998,63.1,53.06
38.443999999999974,62.57,53.33
38.81399999999997,62.83,53.33
39.184999999999974,63.36,53.06
39.55499999999997,63.36,53.86
39.92599999999997,63.1,53.86
40.296999999999976,63.62,53.59
40.674999999999976,63.36,53.86
41.04599999999998,63.36,53.86
41.41699999999998,63.89,54.12
41.78499999999998,64.15,54.12
42.15399999999998,64.15,53.86
42.51999999999998,64.15,54.38
42.88699999999998,63.89,54.65
43.25499999999998,64.42,54.91
43.62399999999998,64.15,54.38
43.99199999999998,64.15,54.38
44.35899999999998,64.15,55.18
44.72599999999998,64.68,54.65
45.092999999999975,64.42,55.18
45.46299999999997,64.42,55.44
45.833999999999975,64.94,54.65
46.19799999999997,64.94,55.18
46.565999999999974,65.21,55.18
46.93299999999997,65.47,55.97
47.30199999999997,65.47,55.97
47.67199999999997,65.47,56.23
48.04099999999997,65.47,55.97
48.40899999999997,65.74,55.97
48.78399999999997,66.0,56.23
49.15299999999997,65.47,55.97
49.51899999999997,65.74,56.5
49.88799999999997,65.74,56.5
50.25999999999997,66.26,56.5
50.63099999999997,66.0,56.76
50.99799999999997,66.53,57.02
51.36999999999997,66.53,57.29
51.73899999999997,66.53,57.29
52.10799999999997,67.06,57.02
52.47599999999997,67.32,57.02
52.84299999999997,66.79,57.55
53.21099999999997,66.79,57.82
53.57999999999997,66.79,57.82
53.94299999999997,67.06,58.08
54.31099999999997,67.32,57.55
54.68299999999997,67.58,58.08
55.05299999999997,67.85,58.08
55.422999999999966,67.58,58.08
55.78699999999996,68.11,58.61
56.15899999999996,67.58,58.87
56.53199999999996,68.38,58.61
56.89099999999996,68.11,59.14
57.264999999999965,68.38,59.14
57.63199999999996,68.38,59.14
58.00099999999996,68.9,58.87
58.36999999999996,68.64,59.4
58.73899999999996,69.17,59.66
59.10799999999996,68.9,59.93
59.47999999999996,69.43,59.4
59.853999999999964,69.43,59.93
60.22999999999996,69.17,60.46
60.60299999999996,69.96,59.66
60.97399999999996,69.7,59.93
61.34399999999996,69.7,60.46
61.71199999999996,69.43,60.19
62.08199999999996,69.7,60.98
62.451999999999956,69.7,60.72
62.81899999999995,69.96,60.98
63.18899999999995,70.22,60.98
63.55799999999995,70.49,61.25
63.92699999999995,70.49,61.25
64.29399999999995,70.75,61.51
64.66199999999995,70.75,61.78
65.03199999999995,70.75,61.78
65.40099999999995,71.28,61.78
65.77099999999996,71.54,61.78
66.13899999999995,71.54,62.04
66.50899999999996,71.54,61.78
66.87799999999996,71.02,62.3
67.24799999999996,71.81,62.57
67.61099999999996,71.81,63.36
67.98199999999996,71.81,62.83
68.35099999999996,72.34,62.83
68.72099999999996,72.34,63.1
69.09699999999997,72.07,63.36
69.46999999999997,72.86,63.36
69.83999999999997,72.34,63.36
70.21099999999997,72.86,63.62
70.57499999999997,73.13,63.89
70.94299999999997,72.34,63.89
71.30399999999997,73.13,63.89
71.67399999999998,73.39,63.89
72.04599999999998,72.86,64.42
72.40699999999998,73.39,64.68
72.77199999999998,73.66,64.42
73.13999999999997,73.92,63.89
73.51099999999997,74.18,64.42
73.88099999999997,74.18,64.68
74.25599999999997,74.45,65.21
74.62799999999997,73.92,65.21
74.99499999999998,74.18,65.47
75.36099999999998,74.18,65.47
75.73899999999998,74.71,65.47
76.10799999999998,74.98,65.74
76.47599999999997,74.98,65.74
76.85199999999998,74.98,66.0
77.22099999999998,75.24,66.0
77.58899999999997,75.5,66.0
77.95099999999996,75.5,66.53
78.31799999999997,74.71,66.53
78.68899999999996,75.77,66.79
79.04699999999997,75.5,66.79
79.41599999999997,75.77,67.06
79.78599999999997,76.3,67.06
80.15699999999997,76.03,67.06
80.52799999999996,76.56,67.32
80.88899999999997,76.56,67.32
81.25099999999996,76.82,67.58
81.61899999999996,76.82,67.85
81.98599999999996,77.09,67.85
82.35199999999996,77.09,68.11
82.71799999999996,77.09,67.85
83.08599999999996,76.82,67.85
83.45299999999996,77.35,68.38
83.82199999999996,77.62,68.9
84.19099999999996,77.88,68.64
84.56199999999995,77.88,68.64
84.93599999999995,77.88,68.64
85.30499999999995,78.14,69.17
85.67599999999995,77.88,68.64
